City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
323,poum,-20.2333,164.0167,25.48,72,88,1.84,NC,1675116888
324,pevek,69.7008,170.3133,-7.04,87,100,1.14,RU,1675116888
325,torbay,47.6666,-52.7314,5.32,95,75,7.2,CA,1675116888
326,gornopravdinsk,60.05,69.9,-12.43,97,100,3.03,RU,1675116889
327,sheksna,59.21,38.5107,-1.74,95,100,7.1,RU,1675116889
328,balatonlelle,46.7832,17.695,3.25,81,42,2.84,HU,1675116890
329,auki,-8.7676,160.7034,27.25,80,87,1.72,SB,1675116890
330,churapcha,62.0025,132.4325,-49.2,100,75,0.97,RU,1675116890
331,lata,40.1629,-8.3327,3.93,77,0,1.65,PT,1675116891
332,arlit,18.7369,7.3853,17.99,4,100,4.12,NE,1675116891
333,pitimbu,-7.4706,-34.8086,27.33,69,23,5.49,BR,1675116891
334,kishanpur,25.65,81.0167,14.39,66,53,2.88,IN,1675116892
335,presidente medici,-11.1753,-61.9014,24.4,91,71,1.77,BR,1675116892
336,cayenne,4.9333,-52.3333,24.02,94,0,1.54,GF,1675116812
337,portland,45.5234,-122.6762,7.16,35,20,4.12,US,1675116691
338,alofi,-19.0595,-169.9187,27.94,78,75,2.06,NU,1675116893
339,shelburne,44.0787,-80.2041,-5.05,90,100,5.06,CA,1675116893
340,fomboni,-12.28,43.7425,27.19,76,4,0.97,KM,1675116893
341,huambo,-12.7761,15.7392,15.31,95,100,0.39,AO,1675116894
342,ballina,-28.8667,153.5667,23.34,99,100,3.9,AU,1675116894
343,maceio,-9.6658,-35.7353,26.69,78,20,3.6,BR,1675116725
344,mount isa,-20.7333,139.5,25.87,83,75,2.57,AU,1675116595
345,zheleznodorozhnyy,55.7503,38.0042,-1.36,92,100,5.98,RU,1675116895
346,mehamn,71.0357,27.8492,1.95,75,20,6.17,NO,1675116895
347,hambantota,6.1241,81.1185,24.59,84,100,3.16,LK,1675116896
348,zunyi,27.6867,106.9072,7.13,52,3,0.99,CN,1675116896
349,mantua,45.1667,10.7833,2.58,88,2,1.34,IT,1675116896
350,bintulu,3.1667,113.0333,24.19,95,100,2.22,MY,1675116897
351,seoul,37.5683,126.9778,-2.31,79,3,1.56,KR,1675116709
352,yining,29.0361,114.5636,5.37,49,0,1.04,CN,1675116897
353,liuzhou,24.3126,109.3892,10.9,30,5,0.68,CN,1675116898
354,along,28.1667,94.7667,12.18,66,0,0.72,IN,1675116898
355,port lincoln,-34.7333,135.8667,16.95,71,1,2.68,AU,1675116899
356,sosnogorsk,63.6023,53.8817,-11.8,93,100,4.45,RU,1675116899
357,leh,34.1667,77.5833,-10.96,86,100,1.96,IN,1675116899
358,biskamzha,53.4497,89.5272,-16.73,99,100,0.74,RU,1675116900
359,batagay-alyta,67.8006,130.4114,-29.18,99,100,1.03,RU,1675116900
360,moses lake,47.1301,-119.2781,-1.73,43,0,4.12,US,1675116755
361,grand-santi,4.25,-54.3833,22.58,98,10,1.36,GF,1675116900
362,sabang,5.8933,95.3214,26.24,84,100,6.22,ID,1675116901
363,bogorodskoye,56.55,37.8833,-2.53,93,100,6.89,RU,1675116901
364,katsuura,35.1333,140.3,2.9,55,48,5.01,JP,1675116902
365,avera,33.194,-82.5271,14.19,96,100,1.87,US,1675116903
366,green river,41.5286,-109.4662,-15.57,63,80,0.89,US,1675116903
367,balkanabat,39.5108,54.3671,4.75,64,34,1.69,TM,1675116903
368,petropavlovsk-kamchatskiy,53.0452,158.6483,-7.67,53,75,5.0,RU,1675116904
